,book_id,chap_id,term_str,n,tfidf
23707,6262,3,under,3,0.00236060531451674
23708,6262,3,understand,5,0.005847980923076072
23709,6262,3,understanding,2,0.004485843748023663
23710,6262,3,undisturbed,1,0.004077784259332933
23711,6262,3,unescorted,1,0.011246390856779755
23712,6262,3,unfamiliar,1,0.00698597233405065
23713,6262,3,unfathomable,1,0.011246390856779755
23714,6262,3,unfortunate,1,0.004260418522729105
23715,6262,3,unfortunately,7,0.018352115764453433
23716,6262,3,uninvited,1,0.009411528471458654
23717,6262,3,university,1,0.011246390856779755
23718,6262,3,unless,2,0.007813882630990702
23719,6262,3,unlit,1,0.008338202782062038
23720,6262,3,unmasking,1,0.011246390856779755
23721,6262,3,unnecessary,1,0.003452028446791525
23722,6262,3,unoccupied,2,0.015153332172275106
23723,6262,3,unpractical,1,0.011246390856779755
23724,6262,3,unqualified,1,0.008338202782062038
23725,6262,3,unshakeable,1,0.008338202782062038
23726,6262,3,unsuccessful,1,0.009411528471458654
23727,6262,3,unsuitable,1,0.006503340396740937
23728,6262,3,unsustainable,1,0.011246390856779755
23729,6262,3,until,3,0.0025148128897622252
23730,6262,3,unusual,1,0.005741803700816452
23731,6262,3,up,56,0.013284126511776372
23732,6262,3,upon,1,0.003187092833332489
23733,6262,3,upper,1,0.004260418522729105
23734,6262,3,upright,1,0.0028336156260987348
23735,6262,3,urge,1,0.004668478011419836
23736,6262,3,urgency,2,0.015153332172275106
23737,6262,3,urgent,1,0.004898809905151687
23738,6262,3,us,9,0.005745522441803232
23739,6262,3,use,1,0.0012290851345094847
23740,6262,3,used,1,0.0014160202061043719
23741,6262,3,useful,2,0.007813882630990702
23742,6262,3,usual,1,0.0027255538113215446
23743,6262,3,utterly,1,0.005151109948729549
23744,6262,3,vague,1,0.004456593208814449
23745,6262,3,various,1,0.0023326642602154025
23746,6262,3,vaulted,1,0.008338202782062038
23747,6262,3,ve,16,0.1117755573448104
23748,6262,3,ventured,1,0.007576666086137553
23749,6262,3,very,27,0.012218860779347484
23750,6262,3,vicinity,1,0.008338202782062038
23751,6262,3,victory,1,0.00543001470734432
23752,6262,3,view,1,0.0017602899367021177
23753,6262,3,vigilance,1,0.007576666086137553
23754,6262,3,vigour,1,0.00698597233405065
23755,6262,3,vileness,1,0.011246390856779755
23756,6262,3,village,1,0.0023326642602154025
23757,6262,3,virtuosos,1,0.011246390856779755
23758,6262,3,visibly,1,0.006095280908050206
23759,6262,3,visit,11,0.028839039058426823
23760,6262,3,vital,1,0.009411528471458654
23761,6262,3,voice,7,0.012322029556914823
23762,6262,3,voices,1,0.004898809905151687
23763,6262,3,waistcoat,1,0.006503340396740937
23764,6262,3,wait,5,0.006761152240056938
23765,6262,3,waited,1,0.0023326642602154025
23766,6262,3,waiter,1,0.005741803700816452
23767,6262,3,waiting,6,0.007374510807056908
23768,6262,3,wake,2,0.009336956022839672
23769,6262,3,waking,2,0.012190561816100412
23770,6262,3,walk,4,0.010486923293973391
23771,6262,3,walked,4,0.009702224549632018
23772,6262,3,walking,2,0.004851112274816009
23773,6262,3,wall,8,0.014082319493616942
23774,6262,3,wallet,3,0.02501460834618611
23775,6262,3,wanderings,1,0.007576666086137553
23776,6262,3,want,20,0.00995603749788603
23777,6262,3,wanted,8,0.0054957139784440065
23778,6262,3,wanting,1,0.0033162475634084484
23779,6262,3,wants,1,0.0025218266326266017
23780,6262,3,war,1,0.008338202782062038
23781,6262,3,ward,1,0.011246390856779755
23782,6262,3,warding,1,0.009411528471458654
23783,6262,3,was,161,0.03819186372135707
23784,6262,3,wasn,6,0.03902004238044562
23785,6262,3,waste,1,0.004898809905151687
23786,6262,3,watch,1,0.0027255538113215446
23787,6262,3,watched,1,0.0030639475198305857
23788,6262,3,wax,1,0.008338202782062038
23789,6262,3,way,37,0.011886620445228223
23790,6262,3,we,13,0.004176380156431538
23791,6262,3,weak,2,0.006374185666664978
23792,6262,3,wear,1,0.005741803700816452
23793,6262,3,weight,1,0.0033162475634084484
23794,6262,3,welcome,2,0.0056672312521974695
23795,6262,3,well,19,0.008598457585466748
23796,6262,3,went,11,0.007556606720360509
23797,6262,3,were,28,0.006642063255888186
23798,6262,3,weren,1,0.007576666086137553
23799,6262,3,what,30,0.009637800360995857
23800,6262,3,whatever,3,0.007276668412224014
23801,6262,3,when,23,0.004512017779962887
23802,6262,3,where,17,0.005461420204564318
23803,6262,3,whereas,4,0.01631113703733173
23804,6262,3,wherever,2,0.009336956022839672
23805,6262,3,whether,7,0.006609196715244602
23806,6262,3,which,57,0.004373853237786667
23807,6262,3,while,10,0.0036430399886620206
23808,6262,3,whispered,3,0.010356085340374575
23809,6262,3,whistle,1,0.006503340396740937
23810,6262,3,white,3,0.007865192470480044
23811,6262,3,who,26,0.006167630166181887
23812,6262,3,whole,4,0.003562765704001774
23813,6262,3,whom,7,0.009029592359082716
23814,6262,3,whose,6,0.010126564968616698
23815,6262,3,why,18,0.009789126697328527
23816,6262,3,wildcat,2,0.02249278171355951
23817,6262,3,will,24,0.006693714206754498
23818,6262,3,willingly,1,0.007576666086137553
23819,6262,3,wind,1,0.004456593208814449
23820,6262,3,window,9,0.012170074032102489
23821,6262,3,windows,2,0.005243461646986696
23822,6262,3,wipe,1,0.006503340396740937
23823,6262,3,wish,2,0.003669724770642202
23824,6262,3,wishes,4,0.01704167409091642
23825,6262,3,with,110,0.0
23826,6262,3,withdrew,2,0.01086002941468864
23827,6262,3,within,2,0.006632495126816897
23828,6262,3,without,14,0.005712832841670225
